tconst,averageRating,numVotes
tt0206098,6.8,71
tt0206113,6.3,1564
tt0206184,5.0,311
tt0206211,7.6,10
tt0206223,4.3,145
tt0206226,6.0,6598
tt0206275,6.2,65976
tt0206314,6.6,75955
tt0206367,5.0,1294
tt0206420,5.3,10927
tt0206545,7.4,65
tt0206608,6.2,197
tt0206634,7.9,529462
tt0206694,6.7,48
tt0206742,6.4,2145
tt0206762,6.3,1513
tt0206778,6.4,69
tt0206917,6.1,16456
tt0206926,5.6,6105
tt0206963,7.2,5907
tt0207036,5.1,690
tt0207161,5.7,1478
tt0207163,6.3,512
tt0207198,6.8,3759
tt0207201,6.4,222366
tt0207333,5.1,893
tt0207337,4.3,34
tt0207377,4.6,925
tt0207501,4.2,48
tt0207524,6.8,3649
tt0207585,5.9,765
tt0207631,4.5,725
tt0207635,6.5,64
tt0207638,5.5,138
tt0207745,4.6,267
tt0207988,5.9,425
tt0208003,5.2,90800
tt0208017,7.8,46
tt0208037,4.6,449
tt0208050,5.5,409
tt0208092,8.2,911019
tt0208196,7.2,10226
tt0208204,4.3,131
tt0208412,6.6,35
tt0208491,4.6,800
tt0208870,4.0,150
tt0208874,6.9,25015
tt0208883,6.0,110
tt0208889,6.7,93
tt0208899,5.5,185
tt0208910,8.0,23
tt0208911,6.3,2005
tt0208942,4.3,181
tt0208988,5.1,36598
tt0208990,7.3,21445
tt0208993,6.9,1623
tt0209020,4.4,85
tt0209037,6.9,3331
tt0209077,5.8,30811
tt0209109,4.8,704
tt0209144,8.4,1323012
tt0209163,6.4,345958
tt0209180,8.1,5092
tt0209253,4.2,78
tt0209279,5.4,187
tt0209322,6.2,3678
tt0209475,5.3,86537
tt0209486,4.9,501
tt0209941,6.2,91
tt0209958,6.4,109114
tt0210065,6.7,14546
tt0210070,6.8,52299
tt0210075,6.7,11382
tt0210094,5.4,2846
tt0210149,6.0,745
tt0210223,4.8,233
tt0210299,7.3,3685
tt0210357,6.5,266
tt0210358,6.4,7373
tt0210362,5.9,292
tt0210382,5.8,10035
tt0210470,6.6,75
tt0210567,5.6,4304
tt0210584,6.2,2478
tt0210616,6.7,22794
tt0210756,6.0,443
tt0210776,6.1,41
tt0210816,4.8,198
tt0210930,5.3,242
tt0210945,7.8,231947
tt0210952,5.8,101
